tourney_id,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2019-W-ITF-MEX-14A-2019,17-2019-W-ITF-MEX-14A-2019,221413,220354,W/O,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,18-2019-W-ITF-MEX-14A-2019,215956,222000,6-2 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,19-2019-W-ITF-MEX-14A-2019,214136,213739,6-2 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,20-2019-W-ITF-MEX-14A-2019,221146,214784,6-2 7-6(2),3,R16,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,21-2019-W-ITF-MEX-14A-2019,214782,215555,6-0 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,22-2019-W-ITF-MEX-14A-2019,219625,221994,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,23-2019-W-ITF-MEX-14A-2019,215726,221120,7-5 5-7 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,24-2019-W-ITF-MEX-14A-2019,206255,211457,6-0 6-0,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,25-2019-W-ITF-MEX-14A-2019,221413,215956,6-0 6-1,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,26-2019-W-ITF-MEX-14A-2019,214136,221146,6-4 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,27-2019-W-ITF-MEX-14A-2019,214782,219625,6-4 6-2,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,28-2019-W-ITF-MEX-14A-2019,206255,215726,6-3 6-1,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,29-2019-W-ITF-MEX-14A-2019,214136,221413,6-2 6-7(4) 6-1,3,SF,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,30-2019-W-ITF-MEX-14A-2019,206255,214782,6-2 6-0,3,SF,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-14A-2019,31-2019-W-ITF-MEX-14A-2019,206255,214136,6-2 4-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,1-2019-W-ITF-MEX-15A-2019,216357,221611,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,,778.0,10.0,,
2019-W-ITF-MEX-15A-2019,2-2019-W-ITF-MEX-15A-2019,205920,222271,6-3 6-3,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,3-2019-W-ITF-MEX-15A-2019,220016,221926,6-0 6-0,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,4-2019-W-ITF-MEX-15A-2019,205933,214726,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,5-2019-W-ITF-MEX-15A-2019,214265,216164,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,6-2019-W-ITF-MEX-15A-2019,221697,219784,7-5 6-1,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,7-2019-W-ITF-MEX-15A-2019,211594,222138,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,8-2019-W-ITF-MEX-15A-2019,206417,214244,6-0 6-0,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,9-2019-W-ITF-MEX-15A-2019,205920,221241,4-6 6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,10-2019-W-ITF-MEX-15A-2019,221046,221933,6-0 6-0,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,11-2019-W-ITF-MEX-15A-2019,221146,220016,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,12-2019-W-ITF-MEX-15A-2019,206417,213772,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,13-2019-W-ITF-MEX-15A-2019,220721,215726,7-6(2) 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,14-2019-W-ITF-MEX-15A-2019,214696,221697,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,15-2019-W-ITF-MEX-15A-2019,211638,215854,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2019-W-ITF-MEX-15A-2019,16-2019-W-ITF-MEX-15A-2019,213753,221729,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,796.0,9.0,,
