tourney_id,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-709,293-2021-709,202458,206368,6-3 6-3,3,R16,81.0,9.0,4.0,64.0,41.0,33.0,10.0,9.0,6.0,7.0,6.0,2.0,57.0,28.0,18.0,13.0,9.0,4.0,8.0,1.0,10090.0,28.0,2160.0
2021-709,292-2021-709,221103,214544,7-5 6-3,3,R16,89.0,1.0,0.0,59.0,36.0,26.0,15.0,10.0,4.0,5.0,4.0,2.0,72.0,38.0,25.0,16.0,11.0,5.0,9.0,35.0,1866.0,4.0,6195.0
2021-709,291-2021-709,216347,206252,3-6 7-6(5) 7-5,3,R16,170.0,2.0,2.0,121.0,69.0,40.0,33.0,17.0,11.0,16.0,5.0,6.0,111.0,74.0,48.0,19.0,16.0,7.0,11.0,15.0,3555.0,40.0,1646.0
2021-709,290-2021-709,202494,202469,6-4 6-2,3,R16,76.0,3.0,3.0,54.0,29.0,17.0,12.0,9.0,1.0,5.0,3.0,2.0,49.0,29.0,9.0,8.0,9.0,1.0,8.0,6.0,5835.0,12.0,4110.0
2021-709,289-2021-709,201662,201329,7-5 6-3,3,R16,96.0,5.0,5.0,63.0,40.0,31.0,5.0,10.0,6.0,10.0,0.0,3.0,77.0,53.0,27.0,8.0,11.0,9.0,16.0,9.0,4660.0,113.0,732.0
2021-709,288-2021-709,211533,201493,4-6 6-3 6-4,3,R16,131.0,3.0,4.0,119.0,68.0,41.0,23.0,15.0,11.0,16.0,1.0,13.0,98.0,64.0,36.0,14.0,14.0,5.0,11.0,49.0,1545.0,26.0,2270.0
2021-709,287-2021-709,201549,206408,3-6 6-1 6-2,3,R16,119.0,1.0,0.0,85.0,60.0,31.0,19.0,12.0,9.0,12.0,2.0,6.0,75.0,36.0,21.0,18.0,12.0,2.0,8.0,25.0,2335.0,44.0,1583.0
2021-709,286-2021-709,202468,206420,6-2 6-4,3,R16,71.0,2.0,3.0,59.0,32.0,20.0,11.0,9.0,6.0,10.0,1.0,4.0,53.0,30.0,12.0,10.0,9.0,0.0,7.0,31.0,2058.0,33.0,1935.0
2021-709,285-2021-709,202458,201468,6-4 6-1,3,R32,78.0,7.0,3.0,62.0,38.0,26.0,12.0,9.0,4.0,6.0,0.0,2.0,57.0,40.0,20.0,6.0,8.0,1.0,6.0,1.0,10090.0,665.0,47.0
2021-709,284-2021-709,206368,201614,6-4 6-4,3,R32,87.0,7.0,0.0,55.0,28.0,20.0,17.0,10.0,4.0,6.0,3.0,3.0,66.0,39.0,23.0,12.0,10.0,4.0,8.0,28.0,2160.0,56.0,1440.0
2021-709,283-2021-709,221103,206289,6-1 1-6 6-1,3,R32,105.0,3.0,2.0,87.0,57.0,39.0,11.0,11.0,5.0,8.0,4.0,6.0,68.0,37.0,23.0,12.0,10.0,9.0,14.0,35.0,1866.0,19.0,3130.0
