tourney_id,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2016-3350,253-2016-3350,105415,104308,6-4 6-4,3,Q3,87.0,6.0,2.0,57.0,26.0,21.0,20.0,10.0,1.0,1.0,11.0,3.0,74.0,41.0,31.0,16.0,10.0,1.0,3.0,591.0,52.0,407.0,106.0
2016-3350,254-2016-3350,105161,106296,6-4 3-6 7-5,3,Q3,129.0,2.0,4.0,100.0,64.0,38.0,19.0,15.0,7.0,11.0,7.0,2.0,97.0,68.0,44.0,15.0,16.0,2.0,7.0,426.0,98.0,215.0,254.0
2016-3350,270-2016-3350,103781,104460,3-6 6-2 7-6(4),3,R32,99.0,2.0,2.0,84.0,61.0,45.0,13.0,14.0,2.0,4.0,12.0,6.0,105.0,58.0,39.0,26.0,15.0,11.0,14.0,540.0,61.0,65.0,778.0
2016-3350,271-2016-3350,104932,125802,7-6(5) 3-6 6-4,3,R32,141.0,7.0,3.0,92.0,65.0,44.0,14.0,15.0,2.0,5.0,9.0,7.0,111.0,68.0,48.0,18.0,16.0,2.0,5.0,150.0,390.0,169.0,338.0
2016-3350,272-2016-3350,106421,123785,6-4 6-1,3,R32,66.0,6.0,1.0,43.0,25.0,20.0,14.0,8.0,1.0,1.0,3.0,7.0,75.0,46.0,29.0,11.0,9.0,9.0,13.0,130.0,461.0,278.0,181.0
2016-3350,273-2016-3350,105613,104471,6-3 7-5,3,R32,89.0,6.0,0.0,56.0,43.0,32.0,8.0,10.0,1.0,2.0,8.0,3.0,74.0,44.0,26.0,16.0,11.0,8.0,12.0,218.0,250.0,93.0,642.0
2016-3350,274-2016-3350,103908,104893,1-6 6-3 6-3,3,R32,101.0,4.0,5.0,86.0,39.0,25.0,21.0,13.0,3.0,8.0,9.0,0.0,71.0,47.0,32.0,7.0,12.0,6.0,11.0,71.0,736.0,359.0,124.0
2016-3350,275-2016-3350,105161,120775,6-1 6-2,3,R32,55.0,1.0,0.0,39.0,23.0,15.0,11.0,7.0,1.0,2.0,1.0,3.0,44.0,31.0,15.0,3.0,8.0,0.0,6.0,426.0,98.0,390.0,111.0
2016-3350,276-2016-3350,103843,104327,6-3 6-4,3,R32,81.0,3.0,0.0,58.0,27.0,22.0,19.0,10.0,1.0,2.0,7.0,2.0,56.0,36.0,25.0,7.0,9.0,0.0,3.0,124.0,495.0,115.0,527.0
2016-3350,277-2016-3350,105526,106296,6-3 3-6 6-2,3,R32,87.0,11.0,5.0,73.0,35.0,31.0,20.0,13.0,2.0,3.0,4.0,1.0,92.0,58.0,40.0,14.0,13.0,6.0,9.0,109.0,544.0,215.0,254.0
2016-3350,278-2016-3350,105430,105074,6-4 7-5,3,R32,87.0,2.0,2.0,55.0,36.0,28.0,10.0,11.0,1.0,3.0,5.0,3.0,75.0,47.0,34.0,9.0,11.0,7.0,11.0,101.0,592.0,226.0,235.0
2016-3350,279-2016-3350,104978,106293,6-3 6-2,3,R32,64.0,9.0,3.0,62.0,45.0,35.0,8.0,9.0,5.0,5.0,3.0,3.0,51.0,32.0,22.0,6.0,8.0,3.0,6.0,152.0,387.0,159.0,374.0
2016-3350,280-2016-3350,126094,105726,6-4 7-5,3,R32,73.0,9.0,2.0,64.0,37.0,28.0,12.0,11.0,3.0,5.0,5.0,3.0,60.0,30.0,24.0,14.0,11.0,0.0,4.0,172.0,334.0,250.0,215.0
2016-3350,281-2016-3350,104871,104735,6-3 6-4,3,R32,68.0,10.0,4.0,58.0,32.0,28.0,13.0,10.0,1.0,2.0,1.0,4.0,50.0,32.0,22.0,6.0,9.0,3.0,6.0,78.0,690.0,133.0,450.0
2016-3350,282-2016-3350,105575,105916,7-6(13) 6-2,3,R32,95.0,4.0,1.0,78.0,53.0,39.0,10.0,10.0,7.0,9.0,10.0,5.0,76.0,45.0,27.0,15.0,10.0,6.0,10.0,80.0,685.0,149.0,391.0
2016-3350,283-2016-3350,105668,105041,6-4 6-4,3,R32,62.0,8.0,2.0,57.0,43.0,35.0,5.0,10.0,1.0,2.0,3.0,1.0,48.0,26.0,21.0,11.0,10.0,0.0,3.0,216.0,251.0,114.0,529.0
2016-3350,284-2016-3350,104672,105415,6-4 6-7(6) 6-3,3,R32,135.0,2.0,5.0,109.0,62.0,40.0,28.0,16.0,5.0,7.0,7.0,4.0,88.0,49.0,32.0,21.0,15.0,5.0,9.0,158.0,375.0,591.0,52.0
2016-3350,285-2016-3350,105011,104797,7-6(7) 6-3,3,R32,104.0,7.0,2.0,72.0,41.0,33.0,14.0,11.0,3.0,5.0,4.0,1.0,74.0,57.0,36.0,7.0,10.0,5.0,8.0,49.0,880.0,123.0,500.0
2016-3350,286-2016-3350,103781,104932,6-2 7-6(3),3,R16,81.0,3.0,0.0,70.0,58.0,40.0,7.0,10.0,4.0,5.0,7.0,4.0,66.0,42.0,27.0,11.0,10.0,5.0,8.0,540.0,61.0,150.0,390.0
2016-3350,287-2016-3350,106421,105613,6-3 7-6(8),3,R16,96.0,4.0,5.0,76.0,45.0,34.0,21.0,11.0,3.0,3.0,6.0,3.0,91.0,60.0,44.0,14.0,10.0,7.0,8.0,130.0,461.0,218.0,250.0
2016-3350,288-2016-3350,103908,105161,6-2 6-3,3,R16,76.0,0.0,1.0,70.0,35.0,26.0,20.0,9.0,5.0,5.0,5.0,3.0,49.0,28.0,15.0,13.0,8.0,3.0,6.0,71.0,736.0,426.0,98.0
