tourney_id,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-W-ITF-TUN-29A-2021,206-2021-W-ITF-TUN-29A-2021,213853,221254,6-0 6-0,3,R16,,,,,,,,,,,,,,,,,,,,751.0,38.0,1014.0,16.0
2021-W-ITF-TUN-29A-2021,207-2021-W-ITF-TUN-29A-2021,215726,215778,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,,781.0,34.0,1065.0,14.0
2021-W-ITF-TUN-29A-2021,208-2021-W-ITF-TUN-29A-2021,221052,214032,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,746.0,38.0,817.0,30.0
2021-W-ITF-TUN-29A-2021,301-2021-W-ITF-TUN-29A-2021,220550,221202,6-4 6-2,3,QF,,,,,,,,,,,,,,,,,,,,827.0,28.0,,
2021-W-ITF-TUN-29A-2021,302-2021-W-ITF-TUN-29A-2021,221413,220699,6-1 3-6 6-2,3,QF,,,,,,,,,,,,,,,,,,,,1086.0,13.0,1012.0,16.0
2021-W-ITF-TUN-29A-2021,303-2021-W-ITF-TUN-29A-2021,216160,213853,6-4 6-3,3,QF,,,,,,,,,,,,,,,,,,,,765.0,36.0,751.0,38.0
2021-W-ITF-TUN-29A-2021,304-2021-W-ITF-TUN-29A-2021,215726,221052,7-6(8) 6-4,3,QF,,,,,,,,,,,,,,,,,,,,781.0,34.0,746.0,38.0
2021-W-ITF-TUN-29A-2021,401-2021-W-ITF-TUN-29A-2021,220550,221413,7-5 6-0,3,SF,,,,,,,,,,,,,,,,,,,,827.0,28.0,1086.0,13.0
2021-W-ITF-TUN-29A-2021,402-2021-W-ITF-TUN-29A-2021,216160,215726,6-4 6-3,3,SF,,,,,,,,,,,,,,,,,,,,765.0,36.0,781.0,34.0
2021-W-ITF-TUN-29A-2021,501-2021-W-ITF-TUN-29A-2021,220550,216160,6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,827.0,28.0,765.0,36.0
2021-W-ITF-TUN-29A-2021,118-2021-W-ITF-TUN-29A-2021,221940,221001,7-5 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,119-2021-W-ITF-TUN-29A-2021,239397,221615,6-0 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,120-2021-W-ITF-TUN-29A-2021,222895,219444,6-2 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,121-2021-W-ITF-TUN-29A-2021,240167,215633,6-4 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,1421.0,3.0
2021-W-ITF-TUN-29A-2021,122-2021-W-ITF-TUN-29A-2021,239470,234481,6-3 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,123-2021-W-ITF-TUN-29A-2021,211908,223448,6-1 6-0,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,124-2021-W-ITF-TUN-29A-2021,221633,222291,6-4 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,209-2021-W-ITF-TUN-29A-2021,221940,215474,7-5 6-1,3,Q2,,,,,,,,,,,,,,,,,,,,,,1391.0,4.0
2021-W-ITF-TUN-29A-2021,210-2021-W-ITF-TUN-29A-2021,222895,239397,6-3 7-5,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,211-2021-W-ITF-TUN-29A-2021,240167,239470,7-5 6-3,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,212-2021-W-ITF-TUN-29A-2021,221633,211908,6-4 6-2,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,305-2021-W-ITF-TUN-29A-2021,222895,221940,6-4 6-2,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-29A-2021,306-2021-W-ITF-TUN-29A-2021,240167,221633,6-0 6-1,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-30A-2021,101-2021-W-ITF-TUN-30A-2021,214007,214212,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,521.0,84.0,940.0,21.0
2021-W-ITF-TUN-30A-2021,102-2021-W-ITF-TUN-30A-2021,221940,234481,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2021-W-ITF-TUN-30A-2021,103-2021-W-ITF-TUN-30A-2021,220453,222442,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,,772.0,35.0,,
2021-W-ITF-TUN-30A-2021,104-2021-W-ITF-TUN-30A-2021,214696,221688,6-0 6-2,3,R32,,,,,,,,,,,,,,,,,,,,674.0,49.0,852.0,26.0
2021-W-ITF-TUN-30A-2021,105-2021-W-ITF-TUN-30A-2021,219983,221254,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,581.0,65.0,1017.0,16.0
2021-W-ITF-TUN-30A-2021,106-2021-W-ITF-TUN-30A-2021,216160,219663,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,744.0,39.0,804.0,31.0
