tourney_id,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2018-7586,271-2018-7586,133975,111761,6-1 7-5,3,R32,74.0,10.0,4.0,66.0,40.0,33.0,9.0,10.0,3.0,5.0,2.0,0.0,51.0,32.0,18.0,9.0,9.0,2.0,7.0,423.0,90.0,441.0,85.0
2018-7586,272-2018-7586,106302,111451,7-6(3) 4-6 4-0 RET,3,R32,113.0,11.0,2.0,79.0,54.0,45.0,13.0,13.0,3.0,4.0,6.0,6.0,107.0,71.0,50.0,14.0,13.0,8.0,10.0,421.0,90.0,435.0,87.0
2018-7586,273-2018-7586,133297,126512,7-6(5) 6-1,3,R32,93.0,3.0,3.0,69.0,46.0,29.0,11.0,9.0,5.0,8.0,1.0,4.0,77.0,43.0,24.0,11.0,10.0,7.0,13.0,233.0,236.0,333.0,134.0
2018-7586,274-2018-7586,126845,106109,6-1 6-7(3) 6-4,3,R32,124.0,17.0,2.0,99.0,67.0,48.0,18.0,14.0,11.0,12.0,10.0,6.0,101.0,68.0,49.0,11.0,15.0,7.0,12.0,270.0,185.0,143.0,395.0
2018-7586,275-2018-7586,200095,105452,6-1 6-3,3,R32,85.0,5.0,1.0,51.0,28.0,22.0,13.0,8.0,6.0,7.0,8.0,4.0,76.0,39.0,23.0,14.0,8.0,9.0,14.0,336.0,132.0,485.0,73.0
2018-7586,276-2018-7586,117361,105682,5-7 7-6(4) 6-1,3,R32,115.0,11.0,6.0,88.0,56.0,38.0,19.0,15.0,3.0,7.0,5.0,5.0,107.0,70.0,45.0,14.0,16.0,6.0,12.0,304.0,157.0,414.0,93.0
2018-7586,277-2018-7586,105902,117360,7-6(4) 4-6 7-6(3),3,R32,158.0,13.0,4.0,120.0,53.0,41.0,44.0,17.0,4.0,5.0,9.0,2.0,96.0,60.0,49.0,25.0,17.0,0.0,0.0,257.0,209.0,137.0,418.0
2018-7586,278-2018-7586,134329,106034,7-6(9) 6-3,3,R32,103.0,9.0,3.0,67.0,40.0,36.0,15.0,10.0,1.0,2.0,4.0,1.0,96.0,65.0,43.0,14.0,11.0,4.0,7.0,454.0,82.0,220.0,252.0
2018-7586,279-2018-7586,106291,126846,6-3 6-3,3,R32,80.0,3.0,1.0,55.0,33.0,23.0,12.0,9.0,1.0,3.0,4.0,5.0,65.0,32.0,21.0,11.0,9.0,7.0,12.0,467.0,76.0,487.0,72.0
2018-7586,280-2018-7586,104907,104963,6-3 6-7(2) 7-5,3,R32,139.0,13.0,4.0,97.0,67.0,51.0,22.0,17.0,5.0,5.0,7.0,6.0,124.0,78.0,58.0,20.0,16.0,12.0,14.0,505.0,68.0,325.0,139.0
2018-7586,281-2018-7586,111442,200003,6-2 6-2,3,R32,57.0,1.0,0.0,39.0,27.0,24.0,8.0,8.0,0.0,0.0,3.0,8.0,57.0,33.0,20.0,8.0,8.0,7.0,11.0,87.0,652.0,461.0,78.0
2018-7586,282-2018-7586,110757,105655,4-6 6-4 6-1,3,R32,118.0,9.0,7.0,103.0,72.0,46.0,14.0,14.0,6.0,10.0,1.0,3.0,78.0,46.0,30.0,12.0,13.0,3.0,9.0,511.0,67.0,187.0,291.0
2018-7586,283-2018-7586,120775,126573,4-6 6-4 6-2,3,R32,102.0,1.0,5.0,73.0,52.0,43.0,11.0,14.0,0.0,1.0,7.0,2.0,78.0,52.0,39.0,11.0,14.0,0.0,3.0,404.0,97.0,579.0,53.0
2018-7586,284-2018-7586,126125,105454,6-4 6-3,3,R32,71.0,1.0,2.0,52.0,37.0,31.0,11.0,10.0,2.0,2.0,1.0,4.0,53.0,35.0,26.0,8.0,9.0,2.0,4.0,238.0,230.0,565.0,57.0
2018-7586,285-2018-7586,126555,105974,6-4 6-4,3,R32,91.0,6.0,3.0,71.0,38.0,30.0,18.0,10.0,3.0,3.0,9.0,5.0,72.0,47.0,34.0,10.0,10.0,6.0,8.0,516.0,66.0,262.0,204.0
2018-7586,286-2018-7586,106415,133975,6-4 6-3,3,R16,76.0,0.0,0.0,54.0,37.0,23.0,12.0,10.0,4.0,6.0,5.0,6.0,65.0,32.0,21.0,13.0,9.0,6.0,10.0,91.0,643.0,423.0,90.0
