tourney_id,match_num,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2017-W-WITF-GER-15A-2017,8-2017-W-WITF-GER-15A-2017,215174,220305,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,,735.0,24.0,,
2017-W-WITF-GER-15A-2017,9-2017-W-WITF-GER-15A-2017,211338,215647,2-6 7-5 4-1 RET,3,R32,,,,,,,,,,,,,,,,,,,,737.0,24.0,1224.0,3.0
2017-W-WITF-GER-15A-2017,10-2017-W-WITF-GER-15A-2017,215517,220523,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2017-W-WITF-GER-15A-2017,11-2017-W-WITF-GER-15A-2017,216176,215714,6-0 7-6(7),3,R32,,,,,,,,,,,,,,,,,,,,,,,
2017-W-WITF-GER-15A-2017,12-2017-W-WITF-GER-15A-2017,213923,211346,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,,591.0,41.0,1201.0,4.0
2017-W-WITF-GER-15A-2017,13-2017-W-WITF-GER-15A-2017,215131,206032,2-6 6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,739.0,24.0
2017-W-WITF-GER-15A-2017,14-2017-W-WITF-GER-15A-2017,211537,214455,4-6 6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,886.0,14.0,1230.0,3.0
2017-W-WITF-GER-15A-2017,15-2017-W-WITF-GER-15A-2017,206228,211557,7-6(3) 2-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1092.0,7.0,756.0,22.0
2017-W-WITF-GER-15A-2017,16-2017-W-WITF-GER-15A-2017,210056,220492,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,419.0,83.0,,
2017-W-WITF-GER-15A-2017,17-2017-W-WITF-GER-15A-2017,212044,210870,6-4 6-7(3) 6-3,3,R16,,,,,,,,,,,,,,,,,,,,413.0,87.0,,
2017-W-WITF-GER-15A-2017,18-2017-W-WITF-GER-15A-2017,216095,202703,6-2 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2017-W-WITF-GER-15A-2017,19-2017-W-WITF-GER-15A-2017,220494,220593,6-4 2-0 RET,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2017-W-WITF-GER-15A-2017,20-2017-W-WITF-GER-15A-2017,216036,215174,7-5 6-3,3,R16,,,,,,,,,,,,,,,,,,,,1171.0,4.0,735.0,24.0
2017-W-WITF-GER-15A-2017,21-2017-W-WITF-GER-15A-2017,211338,215517,6-1 6-1,3,R16,,,,,,,,,,,,,,,,,,,,737.0,24.0,,
2017-W-WITF-GER-15A-2017,22-2017-W-WITF-GER-15A-2017,213923,216176,7-5 6-3,3,R16,,,,,,,,,,,,,,,,,,,,591.0,41.0,,
2017-W-WITF-GER-15A-2017,23-2017-W-WITF-GER-15A-2017,215131,211537,5-7 6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,886.0,14.0
2017-W-WITF-GER-15A-2017,24-2017-W-WITF-GER-15A-2017,210056,206228,6-1 6-3,3,R16,,,,,,,,,,,,,,,,,,,,419.0,83.0,1092.0,7.0
2017-W-WITF-GER-15A-2017,25-2017-W-WITF-GER-15A-2017,212044,216095,6-0 6-1,3,QF,,,,,,,,,,,,,,,,,,,,413.0,87.0,,
2017-W-WITF-GER-15A-2017,26-2017-W-WITF-GER-15A-2017,216036,220494,6-4 6-2,3,QF,,,,,,,,,,,,,,,,,,,,1171.0,4.0,,
2017-W-WITF-GER-15A-2017,27-2017-W-WITF-GER-15A-2017,213923,211338,6-2 6-3,3,QF,,,,,,,,,,,,,,,,,,,,591.0,41.0,737.0,24.0
2017-W-WITF-GER-15A-2017,28-2017-W-WITF-GER-15A-2017,210056,215131,6-4 6-3,3,QF,,,,,,,,,,,,,,,,,,,,419.0,83.0,,
2017-W-WITF-GER-15A-2017,29-2017-W-WITF-GER-15A-2017,212044,216036,6-3 6-1,3,SF,,,,,,,,,,,,,,,,,,,,413.0,87.0,1171.0,4.0
2017-W-WITF-GER-15A-2017,30-2017-W-WITF-GER-15A-2017,210056,213923,6-1 6-4,3,SF,,,,,,,,,,,,,,,,,,,,419.0,83.0,591.0,41.0
2017-W-WITF-GER-15A-2017,31-2017-W-WITF-GER-15A-2017,212044,210056,6-4 2-6 6-4,3,F,,,,,,,,,,,,,,,,,,,,413.0,87.0,419.0,83.0
2017-W-WITF-GRE-01A-2017,1-2017-W-WITF-GRE-01A-2017,213672,203095,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,,312.0,133.0,,
2017-W-WITF-GRE-01A-2017,2-2017-W-WITF-GRE-01A-2017,214593,206332,6-1 4-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,,713.0,25.0,662.0,31.0
2017-W-WITF-GRE-01A-2017,3-2017-W-WITF-GRE-01A-2017,206336,215556,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,,579.0,43.0,,
2017-W-WITF-GRE-01A-2017,4-2017-W-WITF-GRE-01A-2017,213779,220333,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,,420.0,79.0,,
2017-W-WITF-GRE-01A-2017,5-2017-W-WITF-GRE-01A-2017,202579,216375,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,,386.0,93.0,,
2017-W-WITF-GRE-01A-2017,6-2017-W-WITF-GRE-01A-2017,203475,206250,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,527.0,52.0,1041.0,8.0
2017-W-WITF-GRE-01A-2017,7-2017-W-WITF-GRE-01A-2017,211916,211283,4-6 6-3 6-0,3,R32,,,,,,,,,,,,,,,,,,,,1078.0,7.0,803.0,18.0
2017-W-WITF-GRE-01A-2017,8-2017-W-WITF-GRE-01A-2017,211646,214697,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,407.0,84.0,638.0,33.0
2017-W-WITF-GRE-01A-2017,9-2017-W-WITF-GRE-01A-2017,211098,210062,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,417.0,80.0,,
2017-W-WITF-GRE-01A-2017,10-2017-W-WITF-GRE-01A-2017,210337,214827,6-3 6-0,3,R32,,,,,,,,,,,,,,,,,,,,551.0,48.0,,
2017-W-WITF-GRE-01A-2017,11-2017-W-WITF-GRE-01A-2017,214006,214004,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,681.0,28.0,601.0,39.0
2017-W-WITF-GRE-01A-2017,12-2017-W-WITF-GRE-01A-2017,211407,211412,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,362.0,101.0,615.0,37.0
2017-W-WITF-GRE-01A-2017,13-2017-W-WITF-GRE-01A-2017,210958,206207,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,436.0,75.0,,
2017-W-WITF-GRE-01A-2017,14-2017-W-WITF-GRE-01A-2017,206357,211930,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,,758.0,21.0,879.0,13.0
2017-W-WITF-GRE-01A-2017,15-2017-W-WITF-GRE-01A-2017,213695,220334,4-6 6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2017-W-WITF-GRE-01A-2017,16-2017-W-WITF-GRE-01A-2017,202922,214752,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,346.0,109.0,,
2017-W-WITF-GRE-01A-2017,17-2017-W-WITF-GRE-01A-2017,214593,213672,6-3 0-6 7-6(5),3,R16,,,,,,,,,,,,,,,,,,,,713.0,25.0,312.0,133.0
2017-W-WITF-GRE-01A-2017,18-2017-W-WITF-GRE-01A-2017,213779,206336,6-4 6-1,3,R16,,,,,,,,,,,,,,,,,,,,420.0,79.0,579.0,43.0
2017-W-WITF-GRE-01A-2017,19-2017-W-WITF-GRE-01A-2017,202579,203475,6-4 6-2,3,R16,,,,,,,,,,,,,,,,,,,,386.0,93.0,527.0,52.0
2017-W-WITF-GRE-01A-2017,20-2017-W-WITF-GRE-01A-2017,211646,211916,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,407.0,84.0,1078.0,7.0
2017-W-WITF-GRE-01A-2017,21-2017-W-WITF-GRE-01A-2017,211098,210337,7-5 6-1,3,R16,,,,,,,,,,,,,,,,,,,,417.0,80.0,551.0,48.0
2017-W-WITF-GRE-01A-2017,22-2017-W-WITF-GRE-01A-2017,211407,214006,6-3 6-2,3,R16,,,,,,,,,,,,,,,,,,,,362.0,101.0,681.0,28.0
2017-W-WITF-GRE-01A-2017,23-2017-W-WITF-GRE-01A-2017,210958,206357,6-1 6-3,3,R16,,,,,,,,,,,,,,,,,,,,436.0,75.0,758.0,21.0
2017-W-WITF-GRE-01A-2017,24-2017-W-WITF-GRE-01A-2017,202922,213695,6-1 6-2,3,R16,,,,,,,,,,,,,,,,,,,,346.0,109.0,,
2017-W-WITF-GRE-01A-2017,25-2017-W-WITF-GRE-01A-2017,214593,213779,1-6 7-5 7-5,3,QF,,,,,,,,,,,,,,,,,,,,713.0,25.0,420.0,79.0
2017-W-WITF-GRE-01A-2017,26-2017-W-WITF-GRE-01A-2017,202579,211646,7-6(4) 7-5,3,QF,,,,,,,,,,,,,,,,,,,,386.0,93.0,407.0,84.0
2017-W-WITF-GRE-01A-2017,27-2017-W-WITF-GRE-01A-2017,211407,211098,6-1 6-4,3,QF,,,,,,,,,,,,,,,,,,,,362.0,101.0,417.0,80.0
2017-W-WITF-GRE-01A-2017,28-2017-W-WITF-GRE-01A-2017,202922,210958,6-2 6-1,3,QF,,,,,,,,,,,,,,,,,,,,346.0,109.0,436.0,75.0
2017-W-WITF-GRE-01A-2017,29-2017-W-WITF-GRE-01A-2017,202579,214593,6-2 6-1,3,SF,,,,,,,,,,,,,,,,,,,,386.0,93.0,713.0,25.0
2017-W-WITF-GRE-01A-2017,30-2017-W-WITF-GRE-01A-2017,211407,202922,6-4 7-5,3,SF,,,,,,,,,,,,,,,,,,,,362.0,101.0,346.0,109.0
2017-W-WITF-GRE-01A-2017,31-2017-W-WITF-GRE-01A-2017,211407,202579,7-5 6-3,3,F,,,,,,,,,,,,,,,,,,,,362.0,101.0,386.0,93.0
2017-W-WITF-GRE-02A-2017,1-2017-W-WITF-GRE-02A-2017,213672,214971,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,312.0,133.0,,
2017-W-WITF-GRE-02A-2017,2-2017-W-WITF-GRE-02A-2017,211412,203475,7-6(5) 6-0,3,R32,,,,,,,,,,,,,,,,,,,,615.0,37.0,527.0,52.0
2017-W-WITF-GRE-02A-2017,3-2017-W-WITF-GRE-02A-2017,210337,206336,7-6(9) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,551.0,48.0,579.0,43.0
2017-W-WITF-GRE-02A-2017,4-2017-W-WITF-GRE-02A-2017,210958,216425,5-7 6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,436.0,75.0,,
2017-W-WITF-GRE-02A-2017,5-2017-W-WITF-GRE-02A-2017,211407,202604,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,,362.0,101.0,643.0,33.0
2017-W-WITF-GRE-02A-2017,6-2017-W-WITF-GRE-02A-2017,214004,211930,6-0 6-4,3,R32,,,,,,,,,,,,,,,,,,,,601.0,39.0,879.0,13.0
2017-W-WITF-GRE-02A-2017,7-2017-W-WITF-GRE-02A-2017,206250,206207,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,1041.0,8.0,,
2017-W-WITF-GRE-02A-2017,8-2017-W-WITF-GRE-02A-2017,211098,215420,6-4 4-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,,417.0,80.0,1036.0,8.0
2017-W-WITF-GRE-02A-2017,9-2017-W-WITF-GRE-02A-2017,213779,203095,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,420.0,79.0,,
2017-W-WITF-GRE-02A-2017,10-2017-W-WITF-GRE-02A-2017,213744,214752,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,1029.0,8.0,,
2017-W-WITF-GRE-02A-2017,11-2017-W-WITF-GRE-02A-2017,214006,215941,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,681.0,28.0,,
2017-W-WITF-GRE-02A-2017,12-2017-W-WITF-GRE-02A-2017,214697,202922,7-5 5-7 5-0 RET,3,R32,,,,,,,,,,,,,,,,,,,,638.0,33.0,346.0,109.0
2017-W-WITF-GRE-02A-2017,13-2017-W-WITF-GRE-02A-2017,211646,206357,4-6 6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,407.0,84.0,758.0,21.0
2017-W-WITF-GRE-02A-2017,14-2017-W-WITF-GRE-02A-2017,206332,203429,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,662.0,31.0,624.0,36.0
2017-W-WITF-GRE-02A-2017,15-2017-W-WITF-GRE-02A-2017,213851,216375,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,,1034.0,8.0,,
2017-W-WITF-GRE-02A-2017,16-2017-W-WITF-GRE-02A-2017,211329,211288,2-6 6-0 6-2,3,R32,,,,,,,,,,,,,,,,,,,,330.0,121.0,974.0,10.0
2017-W-WITF-GRE-02A-2017,17-2017-W-WITF-GRE-02A-2017,213672,211412,6-4 7-6(5),3,R16,,,,,,,,,,,,,,,,,,,,312.0,133.0,615.0,37.0
2017-W-WITF-GRE-02A-2017,18-2017-W-WITF-GRE-02A-2017,210958,210337,6-2 6-1,3,R16,,,,,,,,,,,,,,,,,,,,436.0,75.0,551.0,48.0
2017-W-WITF-GRE-02A-2017,19-2017-W-WITF-GRE-02A-2017,211407,214004,6-4 6-1,3,R16,,,,,,,,,,,,,,,,,,,,362.0,101.0,601.0,39.0
2017-W-WITF-GRE-02A-2017,20-2017-W-WITF-GRE-02A-2017,206250,211098,6-1 4-2 RET,3,R16,,,,,,,,,,,,,,,,,,,,1041.0,8.0,417.0,80.0
2017-W-WITF-GRE-02A-2017,21-2017-W-WITF-GRE-02A-2017,213779,213744,6-3 6-1,3,R16,,,,,,,,,,,,,,,,,,,,420.0,79.0,1029.0,8.0
2017-W-WITF-GRE-02A-2017,22-2017-W-WITF-GRE-02A-2017,214697,214006,6-0 6-4,3,R16,,,,,,,,,,,,,,,,,,,,638.0,33.0,681.0,28.0
2017-W-WITF-GRE-02A-2017,23-2017-W-WITF-GRE-02A-2017,206332,211646,6-1 3-6 6-3,3,R16,,,,,,,,,,,,,,,,,,,,662.0,31.0,407.0,84.0
2017-W-WITF-GRE-02A-2017,24-2017-W-WITF-GRE-02A-2017,211329,213851,6-2 6-2,3,R16,,,,,,,,,,,,,,,,,,,,330.0,121.0,1034.0,8.0
2017-W-WITF-GRE-02A-2017,25-2017-W-WITF-GRE-02A-2017,210958,213672,3-6 6-2 6-0,3,QF,,,,,,,,,,,,,,,,,,,,436.0,75.0,312.0,133.0
2017-W-WITF-GRE-02A-2017,26-2017-W-WITF-GRE-02A-2017,211407,206250,6-1 6-1,3,QF,,,,,,,,,,,,,,,,,,,,362.0,101.0,1041.0,8.0
2017-W-WITF-GRE-02A-2017,27-2017-W-WITF-GRE-02A-2017,213779,214697,6-2 6-4,3,QF,,,,,,,,,,,,,,,,,,,,420.0,79.0,638.0,33.0
2017-W-WITF-GRE-02A-2017,28-2017-W-WITF-GRE-02A-2017,211329,206332,6-7(5) 6-0 6-4,3,QF,,,,,,,,,,,,,,,,,,,,330.0,121.0,662.0,31.0
2017-W-WITF-GRE-02A-2017,29-2017-W-WITF-GRE-02A-2017,211407,210958,7-5 6-4,3,SF,,,,,,,,,,,,,,,,,,,,362.0,101.0,436.0,75.0
2017-W-WITF-GRE-02A-2017,30-2017-W-WITF-GRE-02A-2017,213779,211329,6-4 6-3,3,SF,,,,,,,,,,,,,,,,,,,,420.0,79.0,330.0,121.0
2017-W-WITF-GRE-02A-2017,31-2017-W-WITF-GRE-02A-2017,211407,213779,6-4 7-6(1),3,F,,,,,,,,,,,,,,,,,,,,362.0,101.0,420.0,79.0
